# Gene Family	SRS1007613.ko	tiny-test-data-mt.ko
UNMAPPED	295856.0	1000000.0
UNGROUPED	578847.169	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	44393.678	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	35455.779	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	278687.15	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	42879.654	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	28666.004	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	21881.034	0
UNGROUPED|unclassified	126883.863	0
K00003: homoserine dehydrogenase [EC:1.1.1.3]	19.618	0
K00003: homoserine dehydrogenase [EC:1.1.1.3]|g__Corynebacterium.s__Corynebacterium_glutamicum	19.618	0
K00009: mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	50.887	0
K00009: mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]|g__Escherichia.s__Escherichia_coli	50.887	0
K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	18.226	0
K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|g__Corynebacterium.s__Corynebacterium_glutamicum	18.226	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]	47.808	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]|g__Chromobacterium.s__Chromobacterium_violaceum	22.736	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]|g__Escherichia.s__Escherichia_coli	13.983	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]|unclassified	11.088	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]	90.379	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|g__Chromobacterium.s__Chromobacterium_violaceum	10.587	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|g__Corynebacterium.s__Corynebacterium_glutamicum	30.009	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|g__Polaromonas.s__Polaromonas_naphthalenivorans	49.783	0
K00016: L-lactate dehydrogenase [EC:1.1.1.27]	55.153	0
K00016: L-lactate dehydrogenase [EC:1.1.1.27]|g__Staphylococcus.s__Staphylococcus_epidermidis	55.153	0
K00024: malate dehydrogenase [EC:1.1.1.37]	4.271	0
K00024: malate dehydrogenase [EC:1.1.1.37]|unclassified	4.271	0
K00027: malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	21.177	0
K00027: malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]|g__Escherichia.s__Escherichia_coli	21.177	0
