Gene Family	SRS1007613	tiny-test-data-mt
UNMAPPED	378970.0	1000000.0
UNGROUPED	442049.36	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	30975.554	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	34221.666	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	295574.559	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	20322.271	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	7008.287	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	20014.333	0
UNGROUPED|unclassified	33932.69	0
COG0001: Glutamate-1-semialdehyde aminotransferase	108.557	0
COG0001: Glutamate-1-semialdehyde aminotransferase|g__Chromobacterium.s__Chromobacterium_violaceum	53.458	0
COG0001: Glutamate-1-semialdehyde aminotransferase|g__Escherichia.s__Escherichia_coli	27.947	0
COG0001: Glutamate-1-semialdehyde aminotransferase|unclassified	27.152	0
COG0002: N-acetylglutamate semialdehyde dehydrogenase	3.873	0
COG0002: N-acetylglutamate semialdehyde dehydrogenase|unclassified	3.873	0
COG0003: ATPase required for the post-t[...]d of targeting (By similarity)	19.447	0
COG0003: ATPase required for the post-t[...]d of targeting (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.447	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)	148.844	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	91.306	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	41.39	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)|unclassified	16.148	0
COG0009: sua5 ycio yrdc ywlc family protein	54.41	0
COG0009: sua5 ycio yrdc ywlc family protein|g__Corynebacterium.s__Corynebacterium_glutamicum	14.148	0
COG0009: sua5 ycio yrdc ywlc family protein|g__Escherichia.s__Escherichia_coli	20.704	0
COG0009: sua5 ycio yrdc ywlc family protein|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.559	0
COG0010: hydrolase activity, acting on [...]ide) bonds, in linear amidines	78.636	0
COG0010: hydrolase activity, acting on [...]ide) bonds, in linear amidines|g__Chromobacterium.s__Chromobacterium_violaceum	78.636	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)	10.786	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	10.786	0
COG0015: adenylosuccinate lyase	55.146	0
COG0015: adenylosuccinate lyase|g__Escherichia.s__Escherichia_coli	55.146	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)	187.067	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	62.909	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)|g__Escherichia.s__Escherichia_coli	32.82	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	91.339	0
COG0021: Transketolase	6.379	0
COG0021: Transketolase|unclassified	6.379	0
COG0022: Dehydrogenase, E1 component	24.006	0
COG0022: Dehydrogenase, E1 component|g__Staphylococcus.s__Staphylococcus_epidermidis	24.006	0
COG0024: Removes the N-terminal methion[...]scent proteins (By similarity)	11.989	0
COG0024: Removes the N-terminal methion[...]scent proteins (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	11.989	0
COG0028: acetolactate synthase	30.013	0
COG0028: acetolactate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	8.936	0
COG0028: acetolactate synthase|g__Escherichia.s__Escherichia_coli	21.076	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)	92.274	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	48.828	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)|g__Escherichia.s__Escherichia_coli	43.446	0
COG0031: cysteine biosynthetic process from serine	47.874	0
COG0031: cysteine biosynthetic process from serine|g__Roseobacter.s__Roseobacter_denitrificans	47.874	0
COG0033: phosphoglucomutase	5.054	0
COG0033: phosphoglucomutase|unclassified	5.054	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)	104.025	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	44.81	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	37.449	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Escherichia.s__Escherichia_coli	21.765	0
COG0036: ribulose-phosphate 3-epimerase activity	57.726	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Escherichia.s__Escherichia_coli	13.916	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.282	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Roseobacter.s__Roseobacter_denitrificans	24.529	0
COG0037: Ligates lysine onto the cytidi[...] to isoleucine (By similarity)	15.9	0
COG0037: Ligates lysine onto the cytidi[...] to isoleucine (By similarity)|unclassified	15.9	0
COG0039: Catalyzes the reversible oxida[...]o oxaloacetate (By similarity)	58.807	0
COG0039: Catalyzes the reversible oxida[...]o oxaloacetate (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	58.807	0
COG0040: Catalyzes the condensation of [...]matic activity (By similarity)	58.765	0
COG0040: Catalyzes the condensation of [...]matic activity (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	29.643	0
COG0040: Catalyzes the condensation of [...]matic activity (By similarity)|unclassified	29.122	0
COG0041: Catalyzes the conversion of N5[...]leotide (CAIR) (By similarity)	120.925	0
COG0041: Catalyzes the conversion of N5[...]leotide (CAIR) (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	120.925	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)	61.391	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	38.168	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|unclassified	23.223	0
COG0045: Succinyl-CoA synthetase subunit beta	10.813	0
COG0045: Succinyl-CoA synthetase subunit beta|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.813	0
COG0046: phosphoribosylformylglycinamidine synthase	15.098	0
COG0046: phosphoribosylformylglycinamidine synthase|g__Corynebacterium.s__Corynebacterium_glutamicum	15.098	0
COG0049: One of the primary rRNA bindin[...]he E-site tRNA (By similarity)	103.898	0
COG0049: One of the primary rRNA bindin[...]he E-site tRNA (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	103.898	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)	109.204	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	15.33	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	24.826	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	60.491	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|unclassified	8.557	0
