Gene Family	SRR12919600
UNMAPPED	880809.0
UNGROUPED	119038.89946
UNGROUPED|unclassified	119038.89946
PF00078: Reverse transcriptase (RNA-dependent DNA polymerase)	22.14834
PF00078: Reverse transcriptase (RNA-dependent DNA polymerase)|unclassified	22.14834
PF02305: Capsid protein (F protein)	28.242449999999998
PF02305: Capsid protein (F protein)|unclassified	28.242449999999998
PF02306: Major spike protein (G protein)	12.97545
PF02306: Major spike protein (G protein)|unclassified	12.97545
PF02925: Bacteriophage scaffolding protein D	24.7164
PF02925: Bacteriophage scaffolding protein D|unclassified	24.7164
PF04687: Microvirus H protein (pilot protein)	9.23279
PF04687: Microvirus H protein (pilot protein)|unclassified	9.23279
PF08333: Protein of unknown function (DUF1725)	16.98782
PF08333: Protein of unknown function (DUF1725)|unclassified	16.98782
PF12025: Phage protein C	44.7173
PF12025: Phage protein C|unclassified	44.7173
