Gene Family	SRS1007613	tiny-test-data-mt
UNMAPPED	378970.0	1000000.0
UNGROUPED	503714.896	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	46758.836	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	35416.405	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	302646.402	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	39415.483	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	24851.138	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	22151.183	0
UNGROUPED|unclassified	32475.45	0
K00003: homoserine dehydrogenase [EC:1.1.1.3]	20.917	0
K00003: homoserine dehydrogenase [EC:1.1.1.3]|g__Corynebacterium.s__Corynebacterium_glutamicum	20.917	0
K00009: mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	41.274	0
K00009: mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]|g__Escherichia.s__Escherichia_coli	41.274	0
K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	19.434	0
K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|g__Corynebacterium.s__Corynebacterium_glutamicum	19.434	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]	39.152	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]|g__Chromobacterium.s__Chromobacterium_violaceum	24.242	0
K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]|g__Escherichia.s__Escherichia_coli	14.91	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]	70.849	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|g__Chromobacterium.s__Chromobacterium_violaceum	11.288	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|g__Polaromonas.s__Polaromonas_naphthalenivorans	53.081	0
K00014: shikimate dehydrogenase [EC:1.1.1.25]|unclassified	6.48	0
K00016: L-lactate dehydrogenase [EC:1.1.1.27]	58.807	0
K00016: L-lactate dehydrogenase [EC:1.1.1.27]|g__Staphylococcus.s__Staphylococcus_epidermidis	58.807	0
K00020: 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	79.469	0
K00020: 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]|g__Roseobacter.s__Roseobacter_denitrificans	79.469	0
K00024: malate dehydrogenase [EC:1.1.1.37]	11.804	0
K00024: malate dehydrogenase [EC:1.1.1.37]|unclassified	11.804	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]	129.398	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]|g__Polaromonas.s__Polaromonas_naphthalenivorans	129.398	0
K00036: glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	9.7	0
K00036: glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|unclassified	9.7	0
K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	107.944	0
K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]|g__Roseobacter.s__Roseobacter_denitrificans	107.944	0
K00043: 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	43.622	0
K00043: 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]|g__Roseobacter.s__Roseobacter_denitrificans	43.622	0
K00046: gluconate 5-dehydrogenase [EC:1.1.1.69]	49.566	0
K00046: gluconate 5-dehydrogenase [EC:1.1.1.69]|g__Roseobacter.s__Roseobacter_denitrificans	49.566	0
K00052: 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	5.149	0
K00052: 3-isopropylmalate dehydrogenase [EC:1.1.1.85]|unclassified	5.149	0
K00053: ketol-acid reductoisomerase [EC:1.1.1.86]	17.622	0
K00053: ketol-acid reductoisomerase [EC:1.1.1.86]|g__Escherichia.s__Escherichia_coli	17.622	0
K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	34.919	0
K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]|unclassified	34.919	0
K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	255.746	0
K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|g__Corynebacterium.s__Corynebacterium_glutamicum	135.555	0
K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|g__Polaromonas.s__Polaromonas_naphthalenivorans	40.849	0
K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|unclassified	79.342	0
K00065: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	49.566	0
K00065: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]|g__Roseobacter.s__Roseobacter_denitrificans	49.566	0
K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	91.281	0
K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]|g__Chromobacterium.s__Chromobacterium_violaceum	20.377	0
K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]|unclassified	70.903	0
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	112.818	0
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]|g__Chromobacterium.s__Chromobacterium_violaceum	46.417	0
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]|g__Polaromonas.s__Polaromonas_naphthalenivorans	66.4	0
K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	85.962	0
K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]|g__Corynebacterium.s__Corynebacterium_glutamicum	85.962	0
K00076: 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	26.217	0
K00076: 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]|g__Roseobacter.s__Roseobacter_denitrificans	26.217	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]	43.634	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]|g__Escherichia.s__Escherichia_coli	20.314	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]|g__Staphylococcus.s__Staphylococcus_epidermidis	23.32	0
K00088: IMP dehydrogenase [EC:1.1.1.205]	16.975	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Corynebacterium.s__Corynebacterium_glutamicum	16.975	0
