# Gene Family	SRS1007613.level4ec	tiny-test-data-mt.level4ec
UNMAPPED	295856.0	1000000.0
UNGROUPED	580351.677	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	54289.254	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	38527.264	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	270962.649	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	54007.204	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	31758.25	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	25717.713	0
UNGROUPED|unclassified	105089.342	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase	187.168	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	57.175	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|g__Escherichia.s__Escherichia_coli	49.651	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.882	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|unclassified	67.46	0
1.1.1.103: L-threonine 3-dehydrogenase	178.081	0
1.1.1.103: L-threonine 3-dehydrogenase|g__Escherichia.s__Escherichia_coli	123.989	0
1.1.1.103: L-threonine 3-dehydrogenase|unclassified	54.093	0
1.1.1.122: D-threo-aldose 1-dehydrogenase	31.187	0
1.1.1.122: D-threo-aldose 1-dehydrogenase|g__Escherichia.s__Escherichia_coli	31.187	0
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	179.899	0
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase|g__Escherichia.s__Escherichia_coli	179.899	0
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase	13.236	0
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase|unclassified	13.236	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase	92.899	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|g__Chromobacterium.s__Chromobacterium_violaceum	19.111	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|g__Escherichia.s__Escherichia_coli	28.714	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|unclassified	45.074	0
1.1.1.14: L-iditol 2-dehydrogenase	51.861	0
1.1.1.14: L-iditol 2-dehydrogenase|g__Escherichia.s__Escherichia_coli	13.704	0
1.1.1.14: L-iditol 2-dehydrogenase|unclassified	38.157	0
1.1.1.154: Ureidoglycolate dehydrogenase	63.383	0
1.1.1.154: Ureidoglycolate dehydrogenase|g__Escherichia.s__Escherichia_coli	63.383	0
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	56.443	0
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase|g__Escherichia.s__Escherichia_coli	31.098	0
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.345	0
1.1.1.169: 2-dehydropantoate 2-reductase	220.319	0
1.1.1.169: 2-dehydropantoate 2-reductase|g__Escherichia.s__Escherichia_coli	94.158	0
1.1.1.169: 2-dehydropantoate 2-reductase|g__Staphylococcus.s__Staphylococcus_epidermidis	21.871	0
1.1.1.169: 2-dehydropantoate 2-reductase|unclassified	104.29	0
1.1.1.17: Mannitol-1-phosphate 5-dehydrogenase	138.816	0
1.1.1.17: Mannitol-1-phosphate 5-dehydrogenase|g__Escherichia.s__Escherichia_coli	138.816	0
1.1.1.18: Inositol 2-dehydrogenase	18.226	0
1.1.1.18: Inositol 2-dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	18.226	0
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase	61.081	0
