Gene Family	SRS1007613	tiny-test-data-mt
UNMAPPED	378970.0	1000000.0
UNGROUPED	492645.332	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	53653.852	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	40947.304	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	279521.737	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	55812.387	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	32439.179	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	26888.455	0
UNGROUPED|unclassified	3382.418	0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: 1-acylglycerol-3-phosphate O-acyltransferase	53.941	0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: 1-acylglycerol-3-phosphate O-acyltransferase|g__Escherichia.s__Escherichia_coli	53.941	0
1.1.1.127-RXN: NO_NAME	179.033	0
1.1.1.127-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	179.033	0
1.1.1.251-RXN: NO_NAME	110.932	0
1.1.1.251-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	19.559	0
1.1.1.251-RXN: NO_NAME|unclassified	91.373	0
1.1.1.264-RXN: NO_NAME	52.872	0
1.1.1.264-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	52.872	0
1.1.1.271-RXN: NO_NAME	123.338	0
1.1.1.271-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	103.65	0
1.1.1.271-RXN: NO_NAME|unclassified	19.688	0
1.1.1.274-RXN: 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate forming)	87.909	0
1.1.1.274-RXN: 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate forming)|g__Chromobacterium.s__Chromobacterium_violaceum	46.102	0
1.1.1.274-RXN: 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate forming)|g__Corynebacterium.s__Corynebacterium_glutamicum	22.47	0
1.1.1.274-RXN: 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate forming)|unclassified	19.338	0
1.1.1.292-RXN: NO_NAME	55.955	0
1.1.1.292-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	55.955	0
1.1.1.53-RXN: NO_NAME	13.167	0
1.1.1.53-RXN: NO_NAME|unclassified	13.167	0
1.1.1.83-RXN: NO_NAME	87.889	0
1.1.1.83-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	52.164	0
1.1.1.83-RXN: NO_NAME|unclassified	35.725	0
1.10.2.2-RXN: NO_NAME	107.678	0
1.10.2.2-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	53.234	0
1.10.2.2-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.011	0
1.10.2.2-RXN: NO_NAME|unclassified	33.433	0
1.11.1.15-RXN: NO_NAME	1005.245	0
1.11.1.15-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	750.509	0
1.11.1.15-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	44.438	0
1.11.1.15-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	80.118	0
1.11.1.15-RXN: NO_NAME|unclassified	130.18	0
1.13.11.15-RXN: NO_NAME	31.239	0
1.13.11.15-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	31.239	0
1.13.11.16-RXN: NO_NAME	62.649	0
1.13.11.16-RXN: NO_NAME|unclassified	62.649	0
1.14.12.18-RXN: NO_NAME	14.876	0
1.14.12.18-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.876	0
1.14.13.59-RXN: NO_NAME	67.303	0
1.14.13.59-RXN: NO_NAME|unclassified	67.303	0
1.14.19.1-RXN: NO_NAME	77.467	0
1.14.19.1-RXN: NO_NAME|unclassified	77.467	0
1.17.4.2-RXN: NO_NAME	114.752	0
1.17.4.2-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	62.248	0
1.17.4.2-RXN: NO_NAME|unclassified	52.504	0
1.2.1.2-RXN: NO_NAME	111.1	0
1.2.1.2-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	45.518	0
1.2.1.2-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	39.378	0
1.2.1.2-RXN: NO_NAME|unclassified	26.204	0
1.2.1.67-RXN: NO_NAME	78.631	0
1.2.1.67-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.215	0
1.2.1.67-RXN: NO_NAME|unclassified	67.416	0
1.2.1.9-RXN: NO_NAME	15.497	0
1.2.1.9-RXN: NO_NAME|unclassified	15.497	0
1.2.7.8-RXN: NO_NAME	20.505	0
1.2.7.8-RXN: NO_NAME|unclassified	20.505	0
1.3.1.25-RXN: NO_NAME	34.825	0
1.3.1.25-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	18.106	0
1.3.1.25-RXN: NO_NAME|unclassified	16.719	0
1.3.1.54-RXN: NO_NAME	22.346	0
1.3.1.54-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	22.346	0
1.3.1.9-RXN: NO_NAME	66.362	0
1.3.1.9-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	32.175	0
1.3.1.9-RXN: NO_NAME|unclassified	34.187	0
1.4.1.21-RXN: NO_NAME	17.145	0
1.4.1.21-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	17.145	0
1.4.3.19-RXN: NO_NAME	10.13	0
1.4.3.19-RXN: NO_NAME|unclassified	10.13	0
1.5.1.20-RXN: NO_NAME	92.938	0
1.5.1.20-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	15.316	0
1.5.1.20-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	66.43	0
1.5.1.20-RXN: NO_NAME|unclassified	11.192	0
1.5.1.34-RXN: NO_NAME	148.243	0
1.5.1.34-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	62.839	0
1.5.1.34-RXN: NO_NAME|unclassified	85.404	0
1.5.5.1-RXN: NO_NAME	253.057	0
1.5.5.1-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	54.269	0
1.5.5.1-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	85.63	0
1.5.5.1-RXN: NO_NAME|unclassified	113.158	0
1.5.8.2-RXN: NO_NAME	84.099	0
1.5.8.2-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	84.099	0
1.6.4.4-RXN: NO_NAME	2269.259	0
1.6.4.4-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	69.771	0
