# Gene Family	SRS1007613.pfam	tiny-test-data-mt.pfam
UNMAPPED	295856.0	1000000.0
UNGROUPED	255479.869	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	20761.945	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	19116.41	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	125702.98	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	19540.105	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	9807.22	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	8501.663	0
UNGROUPED|unclassified	52049.544	0
PF00004: ATPase family associated with various cellular activities (AAA)	501.057	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Chromobacterium.s__Chromobacterium_violaceum	30.903	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Corynebacterium.s__Corynebacterium_glutamicum	29.256	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Escherichia.s__Escherichia_coli	117.476	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Polaromonas.s__Polaromonas_naphthalenivorans	115.535	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Roseobacter.s__Roseobacter_denitrificans	47.414	0
PF00004: ATPase family associated with various cellular activities (AAA)|g__Staphylococcus.s__Staphylococcus_epidermidis	20.875	0
PF00004: ATPase family associated with various cellular activities (AAA)|unclassified	139.597	0
PF00005: ABC transporter	7299.513	0
PF00005: ABC transporter|g__Chromobacterium.s__Chromobacterium_violaceum	352.318	0
PF00005: ABC transporter|g__Corynebacterium.s__Corynebacterium_glutamicum	581.295	0
PF00005: ABC transporter|g__Escherichia.s__Escherichia_coli	2829.789	0
PF00005: ABC transporter|g__Polaromonas.s__Polaromonas_naphthalenivorans	584.449	0
PF00005: ABC transporter|g__Roseobacter.s__Roseobacter_denitrificans	801.588	0
PF00005: ABC transporter|g__Staphylococcus.s__Staphylococcus_epidermidis	438.973	0
PF00005: ABC transporter|unclassified	1711.102	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain	307.629	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	3.359	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|g__Escherichia.s__Escherichia_coli	92.295	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.59	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|g__Roseobacter.s__Roseobacter_denitrificans	28.597	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|g__Staphylococcus.s__Staphylococcus_epidermidis	28.244	0
PF00006: ATP synthase alpha/beta family, nucleotide-binding domain|unclassified	138.544	0
PF00009: Elongation factor Tu GTP binding domain	719.008	0
PF00009: Elongation factor Tu GTP binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	43.354	0
PF00009: Elongation factor Tu GTP binding domain|g__Corynebacterium.s__Corynebacterium_glutamicum	102.363	0
PF00009: Elongation factor Tu GTP binding domain|g__Escherichia.s__Escherichia_coli	130.694	0
PF00009: Elongation factor Tu GTP binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	136.729	0
PF00009: Elongation factor Tu GTP binding domain|g__Roseobacter.s__Roseobacter_denitrificans	9.261	0
PF00009: Elongation factor Tu GTP binding domain|g__Staphylococcus.s__Staphylococcus_epidermidis	67.32	0
PF00009: Elongation factor Tu GTP binding domain|unclassified	229.287	0
PF00012: Hsp70 protein	268.743	0
PF00012: Hsp70 protein|g__Chromobacterium.s__Chromobacterium_violaceum	13.494	0
PF00012: Hsp70 protein|g__Escherichia.s__Escherichia_coli	144.667	0
PF00012: Hsp70 protein|g__Polaromonas.s__Polaromonas_naphthalenivorans	34.146	0
PF00012: Hsp70 protein|unclassified	76.436	0
PF00013: KH domain	85.532	0
PF00013: KH domain|g__Chromobacterium.s__Chromobacterium_violaceum	58.312	0
PF00013: KH domain|g__Escherichia.s__Escherichia_coli	2.106	0
PF00013: KH domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.219	0
PF00013: KH domain|unclassified	15.895	0
PF00015: Methyl-accepting chemotaxis protein (MCP) signalling domain	472.441	0
PF00015: Methyl-accepting chemotaxis protein (MCP) signalling domain|g__Chromobacterium.s__Chromobacterium_violaceum	179.481	0
PF00015: Methyl-accepting chemotaxis protein (MCP) signalling domain|g__Escherichia.s__Escherichia_coli	88.536	0
PF00015: Methyl-accepting chemotaxis protein (MCP) signalling domain|g__Roseobacter.s__Roseobacter_denitrificans	15.329	0
PF00015: Methyl-accepting chemotaxis protein (MCP) signalling domain|unclassified	189.095	0
PF00027: Cyclic nucleotide-binding domain	215.22	0
PF00027: Cyclic nucleotide-binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	13.539	0
PF00027: Cyclic nucleotide-binding domain|g__Escherichia.s__Escherichia_coli	89.475	0
PF00027: Cyclic nucleotide-binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	58.122	0
PF00027: Cyclic nucleotide-binding domain|g__Roseobacter.s__Roseobacter_denitrificans	20.003	0
PF00027: Cyclic nucleotide-binding domain|unclassified	34.082	0
PF00032: Cytochrome b(C-terminal)/b6/petD	47.385	0
PF00032: Cytochrome b(C-terminal)/b6/petD|unclassified	47.385	0
PF00034: Cytochrome c	320.33	0
PF00034: Cytochrome c|g__Escherichia.s__Escherichia_coli	34.909	0
PF00034: Cytochrome c|g__Polaromonas.s__Polaromonas_naphthalenivorans	217.312	0
PF00034: Cytochrome c|g__Roseobacter.s__Roseobacter_denitrificans	56.704	0
PF00034: Cytochrome c|unclassified	11.406	0
PF00035: Double-stranded RNA binding motif	38.585	0
PF00035: Double-stranded RNA binding motif|g__Chromobacterium.s__Chromobacterium_violaceum	38.585	0
PF00037: 4Fe-4S binding domain	84.39	0
PF00037: 4Fe-4S binding domain|g__Escherichia.s__Escherichia_coli	84.39	0
PF00042: Globin	98.452	0
PF00042: Globin|g__Escherichia.s__Escherichia_coli	58.935	0
PF00042: Globin|unclassified	39.518	0
PF00043: Glutathione S-transferase, C-terminal domain	454.459	0
PF00043: Glutathione S-transferase, C-terminal domain|g__Chromobacterium.s__Chromobacterium_violaceum	36.288	0
PF00043: Glutathione S-transferase, C-terminal domain|g__Escherichia.s__Escherichia_coli	138.484	0
PF00043: Glutathione S-transferase, C-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	207.637	0
PF00043: Glutathione S-transferase, C-terminal domain|g__Roseobacter.s__Roseobacter_denitrificans	58.133	0
