# Gene Family	SRS1007613.eggnog	tiny-test-data-mt.eggnog
UNMAPPED	295856.0	1000000.0
UNGROUPED	532810.589	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	36630.261	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	32457.173	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	262747.795	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	39487.44	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	16368.222	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	19596.96	0
UNGROUPED|unclassified	125522.734	0
COG0001: Glutamate-1-semialdehyde aminotransferase	50.136	0
COG0001: Glutamate-1-semialdehyde aminotransferase|g__Chromobacterium.s__Chromobacterium_violaceum	50.136	0
COG0002: N-acetylglutamate semialdehyde dehydrogenase	113.178	0
COG0002: N-acetylglutamate semialdehyde dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	98.592	0
COG0002: N-acetylglutamate semialdehyde dehydrogenase|unclassified	14.586	0
COG0006: peptidase M24	11.699	0
COG0006: peptidase M24|g__Corynebacterium.s__Corynebacterium_glutamicum	11.699	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)	56.345	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	8.296	0
COG0008: Catalyzes the attachment of gl[...]d of tRNA(Glu) (By similarity)|g__Escherichia.s__Escherichia_coli	48.049	0
COG0009: sua5 ycio yrdc ywlc family protein	32.686	0
COG0009: sua5 ycio yrdc ywlc family protein|g__Corynebacterium.s__Corynebacterium_glutamicum	13.269	0
COG0009: sua5 ycio yrdc ywlc family protein|g__Escherichia.s__Escherichia_coli	19.417	0
COG0010: hydrolase activity, acting on [...]ide) bonds, in linear amidines	96.231	0
COG0010: hydrolase activity, acting on [...]ide) bonds, in linear amidines|g__Chromobacterium.s__Chromobacterium_violaceum	73.75	0
COG0010: hydrolase activity, acting on [...]ide) bonds, in linear amidines|g__Escherichia.s__Escherichia_coli	22.481	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)	20.264	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	10.116	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)|g__Escherichia.s__Escherichia_coli	3.252	0
COG0013: Catalyzes the attachment of al[...]editing domain (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.896	0
COG0014: Catalyzes the NADPH dependent [...]-5-carboxylate (By similarity)	19.454	0
COG0014: Catalyzes the NADPH dependent [...]-5-carboxylate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	19.454	0
COG0015: adenylosuccinate lyase	101.721	0
COG0015: adenylosuccinate lyase|g__Escherichia.s__Escherichia_coli	51.72	0
COG0015: adenylosuccinate lyase|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.231	0
COG0015: adenylosuccinate lyase|g__Roseobacter.s__Roseobacter_denitrificans	32.887	0
COG0015: adenylosuccinate lyase|unclassified	10.883	0
