Gene Family	SRS1007613	tiny-test-data-mt
UNMAPPED	378970.0	1000000.0
UNGROUPED	487875.13	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	53505.466	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	40701.023	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	276935.7	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	55704.653	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	32382.775	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	26472.088	0
UNGROUPED|unclassified	2173.424	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase	247.038	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	60.962	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|g__Escherichia.s__Escherichia_coli	92.756	0
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase|unclassified	93.32	0
1.1.1.103: L-threonine 3-dehydrogenase	193.034	0
1.1.1.103: L-threonine 3-dehydrogenase|g__Escherichia.s__Escherichia_coli	105.037	0
1.1.1.103: L-threonine 3-dehydrogenase|unclassified	87.996	0
1.1.1.122: D-threo-aldose 1-dehydrogenase	64.567	0
1.1.1.122: D-threo-aldose 1-dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	64.567	0
1.1.1.125: 2-deoxy-D-gluconate 3-dehydrogenase	49.566	0
1.1.1.125: 2-deoxy-D-gluconate 3-dehydrogenase|g__Roseobacter.s__Roseobacter_denitrificans	49.566	0
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	179.033	0
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase|g__Escherichia.s__Escherichia_coli	179.033	0
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase	13.328	0
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase|unclassified	13.328	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase	121.897	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|g__Chromobacterium.s__Chromobacterium_violaceum	20.377	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|g__Escherichia.s__Escherichia_coli	30.616	0
1.1.1.133: dTDP-4-dehydrorhamnose reductase|unclassified	70.903	0
1.1.1.14: L-iditol 2-dehydrogenase	144.931	0
1.1.1.14: L-iditol 2-dehydrogenase|g__Escherichia.s__Escherichia_coli	13.745	0
1.1.1.14: L-iditol 2-dehydrogenase|unclassified	131.186	0
1.1.1.154: Ureidoglycolate dehydrogenase	67.582	0
1.1.1.154: Ureidoglycolate dehydrogenase|g__Escherichia.s__Escherichia_coli	67.582	0
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	79.576	0
