# Gene Family	SRS1007613.go	tiny-test-data-mt.go
UNMAPPED	295856.0	1000000.0
UNGROUPED	282543.868	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	25180.149	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	20371.25	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	130411.874	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	27395.552	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	16153.466	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	9790.299	0
UNGROUPED|unclassified	53241.278	0
GO:0000014: [MF] single-stranded DNA endodeoxyribonuclease activity	52.51	0
GO:0000014: [MF] single-stranded DNA endodeoxyribonuclease activity|g__Corynebacterium.s__Corynebacterium_glutamicum	26.017	0
GO:0000014: [MF] single-stranded DNA endodeoxyribonuclease activity|g__Escherichia.s__Escherichia_coli	26.493	0
GO:0000015: [CC] phosphopyruvate hydratase complex	152.092	0
GO:0000015: [CC] phosphopyruvate hydratase complex|g__Chromobacterium.s__Chromobacterium_violaceum	90.48	0
GO:0000015: [CC] phosphopyruvate hydratase complex|g__Escherichia.s__Escherichia_coli	41.128	0
GO:0000015: [CC] phosphopyruvate hydratase complex|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.898	0
GO:0000015: [CC] phosphopyruvate hydratase complex|g__Staphylococcus.s__Staphylococcus_epidermidis	13.585	0
GO:0000027: [BP] ribosomal large subunit assembly	47.28	0
GO:0000027: [BP] ribosomal large subunit assembly|g__Escherichia.s__Escherichia_coli	47.28	0
GO:0000030: [MF] mannosyltransferase activity	41.607	0
GO:0000030: [MF] mannosyltransferase activity|unclassified	41.607	0
GO:0000032: [BP] cell wall mannoprotein biosynthetic process	14.906	0
GO:0000032: [BP] cell wall mannoprotein biosynthetic process|unclassified	14.906	0
GO:0000034: [MF] adenine deaminase activity	145.556	0
GO:0000034: [MF] adenine deaminase activity|g__Escherichia.s__Escherichia_coli	38.873	0
GO:0000034: [MF] adenine deaminase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	60.673	0
GO:0000034: [MF] adenine deaminase activity|g__Roseobacter.s__Roseobacter_denitrificans	8.346	0
GO:0000034: [MF] adenine deaminase activity|unclassified	37.664	0
GO:0000036: [MF] acyl carrier activity	1801.61	0
GO:0000036: [MF] acyl carrier activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	1801.61	0
GO:0000041: [BP] transition metal ion transport	28.236	0
GO:0000041: [BP] transition metal ion transport|unclassified	28.236	0
GO:0000049: [MF] tRNA binding	1544.388	0
GO:0000049: [MF] tRNA binding|g__Chromobacterium.s__Chromobacterium_violaceum	387.206	0
GO:0000049: [MF] tRNA binding|g__Corynebacterium.s__Corynebacterium_glutamicum	36.755	0
GO:0000049: [MF] tRNA binding|g__Escherichia.s__Escherichia_coli	366.375	0
GO:0000049: [MF] tRNA binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	88.312	0
GO:0000049: [MF] tRNA binding|g__Roseobacter.s__Roseobacter_denitrificans	420.776	0
GO:0000049: [MF] tRNA binding|g__Staphylococcus.s__Staphylococcus_epidermidis	97.443	0
GO:0000049: [MF] tRNA binding|unclassified	147.523	0
GO:0000050: [BP] urea cycle	37.274	0
GO:0000050: [BP] urea cycle|g__Chromobacterium.s__Chromobacterium_violaceum	6.91	0
GO:0000050: [BP] urea cycle|g__Corynebacterium.s__Corynebacterium_glutamicum	11.682	0
GO:0000050: [BP] urea cycle|g__Escherichia.s__Escherichia_coli	8.117	0
GO:0000050: [BP] urea cycle|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.234	0
GO:0000050: [BP] urea cycle|g__Roseobacter.s__Roseobacter_denitrificans	6.331	0
GO:0000062: [MF] fatty-acyl-CoA binding	11.245	0
GO:0000062: [MF] fatty-acyl-CoA binding|g__Escherichia.s__Escherichia_coli	11.245	0
GO:0000099: [MF] sulfur amino acid transmembrane transporter activity	7.509	0
GO:0000099: [MF] sulfur amino acid transmembrane transporter activity|unclassified	7.509	0
GO:0000101: [BP] sulfur amino acid transport	7.509	0
GO:0000101: [BP] sulfur amino acid transport|unclassified	7.509	0
GO:0000102: [MF] L-methionine secondary active transmembrane transporter activity	52.37	0
GO:0000102: [MF] L-methionine secondary active transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	52.37	0
GO:0000103: [BP] sulfate assimilation	91.292	0
GO:0000103: [BP] sulfate assimilation|g__Escherichia.s__Escherichia_coli	73.522	0
GO:0000103: [BP] sulfate assimilation|unclassified	17.77	0
GO:0000104: [MF] succinate dehydrogenase activity	26.361	0
GO:0000104: [MF] succinate dehydrogenase activity|g__Escherichia.s__Escherichia_coli	26.361	0
GO:0000105: [BP] histidine biosynthetic process	528.118	0
GO:0000105: [BP] histidine biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	30.712	0
GO:0000105: [BP] histidine biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	77.907	0
GO:0000105: [BP] histidine biosynthetic process|g__Escherichia.s__Escherichia_coli	63.419	0
GO:0000105: [BP] histidine biosynthetic process|g__Staphylococcus.s__Staphylococcus_epidermidis	27.801	0
GO:0000105: [BP] histidine biosynthetic process|unclassified	328.279	0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity	93.786	0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity|g__Escherichia.s__Escherichia_coli	38.556	0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity|unclassified	55.231	0
GO:0000150: [MF] recombinase activity	909.5	0
GO:0000150: [MF] recombinase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	117.92	0
GO:0000150: [MF] recombinase activity|g__Escherichia.s__Escherichia_coli	409.317	0
GO:0000150: [MF] recombinase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	295.906	0
GO:0000150: [MF] recombinase activity|unclassified	86.358	0
GO:0000155: [MF] phosphorelay sensor kinase activity	1820.851	0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Chromobacterium.s__Chromobacterium_violaceum	106.027	0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	83.771	0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Escherichia.s__Escherichia_coli	447.694	0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	120.038	0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Staphylococcus.s__Staphylococcus_epidermidis	16.664	0
GO:0000155: [MF] phosphorelay sensor kinase activity|unclassified	1046.657	0
GO:0000156: [MF] phosphorelay response regulator activity	463.446	0
GO:0000156: [MF] phosphorelay response regulator activity|g__Chromobacterium.s__Chromobacterium_violaceum	33.078	0
GO:0000156: [MF] phosphorelay response regulator activity|g__Escherichia.s__Escherichia_coli	235.445	0
GO:0000156: [MF] phosphorelay response regulator activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	57.08	0
GO:0000156: [MF] phosphorelay response regulator activity|unclassified	137.843	0
GO:0000160: [BP] phosphorelay signal transduction system	3511.974	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Chromobacterium.s__Chromobacterium_violaceum	458.17	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Corynebacterium.s__Corynebacterium_glutamicum	65.885	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Escherichia.s__Escherichia_coli	1336.635	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Polaromonas.s__Polaromonas_naphthalenivorans	735.91	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Roseobacter.s__Roseobacter_denitrificans	89.0	0
GO:0000160: [BP] phosphorelay signal transduction system|g__Staphylococcus.s__Staphylococcus_epidermidis	11.119	0
